Neighborhood Tabulation Area code,Percent of households with air conditioning
BX06,75.8
BX17,75.8
BX35,75.8
BX01,75.8
BX75,75.8
BX36,79.7
BX40,79.7
BX41,79.7
BK79,81.7
BK81,81.7
BK85,81.7
MN11,82.2
MN03,82.2
BX44,83
BX62,83
BX03,83
QN12,83.2
QN10,83.2
QN15,83.2
QN02,84.2
QN08,84.2
QN07,84.2
QN61,84.2
QN01,84.2
BX39,84.3
BX27,84.3
BX33,84.3
BX34,84.3
BX63,84.6
BX26,84.6
BX14,84.6
MN33,85.1
MN34,85.1
BK64,86.5
BK61,86.5
BK21,86.6
BK19,86.6
BK23,86.6
BK26,86.6
BX43,87.3
BX30,87.3
BX05,87.3
BX07,87.5
BX49,87.5
BX31,87.5
BX37,87.5
MN04,87.8
MN09,87.8
MN06,87.8
BK63,87.9
BK60,87.9
QN60,88.1
BK77,88.1
BK78,88.1
BX22,88.8
BK93,88.8
BX28,88.8
BX29,88.8
QN57,88.8
BX55,88.8
BX08,88.8
BX09,88.8
BK83,88.8
BX46,88.8
BX59,88.8
BK82,88.8
BK35,89
BK75,89
QN76,89.3
BK95,89.8
BK96,89.8
BK91,89.8
BK09,90.2
BK68,90.2
BK69,90.2
BK38,90.2
BK42,90.6
BK43,90.6
SI08,90.7
SI37,90.7
SI35,90.7
SI22,90.7
SI07,90.7
SI12,90.7
SI28,90.7
MN28,91.1
MN27,91.1
MN22,91.1
BK41,91.5
BK88,91.5
BK46,91.5
BK27,91.6
BK28,91.6
BK29,91.6
QN31,91.9
QN63,91.9
QN53,91.9
QN54,91.9
MN12,92.2
MN14,92.2
QN17,92.2
MN35,92.3
MN36,92.3
BK37,92.3
BK33,92.3
MN01,92.3
QN18,92.4
BK50,92.5
BK45,92.5
BK58,92.5
QN70,92.7
QN71,92.7
QN68,92.7
QN05,92.8
QN44,92.8
QN03,92.8
QN66,92.8
QN33,92.8
QN34,92.8
BK40,93
BK34,93
BK32,93
QN45,93.3
QN72,93.4
BK76,93.4
BK73,93.4
BK90,93.4
BK72,93.4
QN42,93.7
QN46,93.7
QN48,93.7
QN21,93.8
QN50,93.8
BK31,93.9
MN50,93.9
BK30,93.9
MN19,93.9
MN20,93.9
MN21,93.9
QN62,93.9
QN43,93.9
QN47,94.1
QN28,94.1
QN23,94.1
QN22,94.1
QN49,94.1
QN51,94.1
QN26,94.1
QN27,94.1
QN52,94.1
QN29,94.3
QN56,94.3
QN55,94.3
QN06,94.9
QN37,94.9
QN35,94.9
QN38,94.9
BK17,95.4
BK44,95.4
BK25,95.4
QN41,95.6
QN20,95.7
QN19,95.7
QN30,95.7
BX10,95.8
BX13,95.8
BX52,95.8
QN25,96.2
MN31,96.4
MN32,96.4
MN40,96.4
SI11,96.7
SI01,96.7
SI25,96.7
SI32,96.7
SI48,96.7
SI54,96.7
MN17,97.6
MN15,97.6
MN13,97.6
MN25,98.1
MN23,98.1
MN24,98.1
SI14,98.4
SI05,98.4
SI36,98.4
SI24,98.4
SI45,98.4
SI35,90.7
SI36,98.4
SI37,90.7
SI45,98.4
SI48,96.7
SI54,96.7
SI99,
